Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
100,Colston Loveland,TE,TE12,CHI,CHI,16,16,165.1,10.32,136.1,8.51,107.1,6.69,133.0,12,16.0,-33.0,106,113,-0.26,-4.22,3.0,3.15,23.25,6.9,8.5,0.8237,29.8,0.0,3,0.1875,9,0.5625,5,0.3125,4,1.0,59,3.69,83,5.19,0.1661,711,44.44,711,6,0.38,36,0,0,0,2.8,1.99,12.05,-2.0,12.29,8.7,0.7073,0.1017,9.1,4.31,0,0,0,0,0,,,,,,1,-2,0,82,58,713,6
102,George Kittle,TE,TE13,SF,SF,11,11,161.5,14.68,133.0,12.09,104.5,9.5,52.0,13,3.0,50.0,111,117,4.1,45.09,2.0,6.9,24.5,13.8,8.26,0.5626,24.7,0.0,4,0.3636,2,0.1818,7,0.6364,3,1.0,58,5.27,70,6.36,0.2145,625,56.82,625,7,0.64,38,0,0,0,2.78,2.31,10.78,-3.0,11.02,9.1,0.8261,0.1207,6.67,4.42,0,0,0,0,0,,,,,,1,-3,0,69,57,628,7
108,AJ Barner,TE,TE14,SEA,SEA,17,17,147.3,8.66,121.3,7.14,95.3,5.61,158.0,14,23.0,-50.0,122,133,-1.92,-32.6,3.0,1.62,15.84,7.7,6.49,0.7493,24.3,0.3,3,0.1765,8,0.4706,6,0.3529,2,1.0,62,3.65,78,4.59,0.138,533,31.35,533,7,0.41,35,0,0,0,2.38,1.89,8.6,1.4,9.98,7.63,0.7647,0.1129,4.37,5.21,0,0,0,0,0,,,,,,10,14,1,68,52,519,6
125,Oronde Gadsden II,TE,TE15,LAC,LAC,15,15,131.4,8.76,106.9,7.13,82.4,5.49,156.0,15,22.0,-31.0,142,151,-1.82,-27.34,3.0,1.98,16.1,6.1,7.54,0.8612,29.4,1.7,2,0.1333,8,0.5333,5,0.3333,2,1.0,49,3.27,69,4.6,0.1442,664,44.27,664,3,0.2,28,1,1,0,2.68,1.9,13.55,,13.55,9.62,0.7101,0.0612,9.04,4.51,0,0,0,0,0,,,,,,0,0,0,69,49,664,3
126,Mark Andrews,TE,TE16,BAL,BAL,17,17,131.0,7.71,107.0,6.29,83.0,4.88,182.0,16,27.0,-56.0,141,149,-2.88,-48.9,3.0,1.74,16.06,6.4,6.79,0.8806,27.1,1.4,3,0.1765,11,0.6471,4,0.2353,3,2.0,58,3.41,80,4.71,0.1707,470,27.65,470,6,0.35,31,0,0,0,2.26,1.64,8.1,4.8,8.79,6.03,0.6857,0.1034,7.26,2.1,0,0,0,0,0,,,,,,10,48,1,70,48,422,5
128,Colby Parkinson,TE,TE17,LA,LA,14,14,129.8,9.27,108.3,7.74,86.8,6.2,149.0,17,21.0,-21.0,138,144,-1.31,-18.35,3.0,0.9,17.95,8.55,7.27,0.7844,24.5,-0.6,2,0.1429,6,0.4286,7,0.5,3,4.0,43,3.07,56,4.0,0.1168,408,29.14,408,8,0.57,24,1,1,0,3.02,2.32,9.49,,9.49,7.29,0.7679,0.186,4.43,6.3,0,0,0,0,0,,,,,,0,0,0,56,43,408,8
133,Theo Johnson,TE,TE18,NYG,NYG,15,15,127.8,8.52,105.3,7.02,82.8,5.52,166.0,18,24.0,-33.0,144,150,-2.06,-30.94,3.0,1.7,15.16,7.4,5.82,0.6835,21.3,0.0,2,0.1333,7,0.4667,5,0.3333,1,3.0,45,3.0,74,4.93,0.1722,528,35.2,528,5,0.33,25,0,0,0,2.84,1.73,11.73,,11.73,7.14,0.6081,0.1111,8.32,4.16,0,0,0,0,0,,,,,,0,0,0,74,45,528,5
136,Zach Ertz,TE,TE19,WAS,WAS,13,13,126.4,9.72,101.4,7.8,76.4,5.88,143.0,19,19.0,-7.0,149,158,-0.86,-11.17,3.0,2.8,17.98,8.6,6.08,0.6258,20.6,0.0,3,0.2308,5,0.3846,3,0.2308,3,2.0,50,3.85,72,5.54,0.1929,504,38.77,504,4,0.31,25,0,0,1,2.53,1.76,10.08,,10.08,7.0,0.6944,0.08,9.11,2.46,0,0,0,0,0,,,,,,0,0,0,72,50,504,4
137,Dalton Kincaid,TE,TE20,BUF,BUF,12,12,126.1,10.51,106.6,8.88,87.1,7.26,127.0,20,14.0,10.0,143,143,-0.07,-0.89,3.0,3.54,17.52,8.8,6.56,0.6245,22.1,0.0,3,0.25,4,0.3333,5,0.4167,3,3.0,39,3.25,49,4.08,0.1493,571,47.58,571,5,0.42,27,0,0,0,3.23,2.57,14.64,,14.64,11.65,0.7959,0.1282,9.49,6.64,0,0,0,0,0,,,,,,0,0,0,49,39,571,5
142,Chig Okonkwo,TE,TE21,TEN,TEN,17,17,124.0,7.29,96.0,5.65,68.0,4.0,193.0,21,30.0,-51.0,153,175,-3.29,-55.9,3.0,1.88,12.76,7.3,4.48,0.6146,16.4,0.0,1,0.0588,8,0.4706,5,0.2941,1,5.0,56,3.29,79,4.65,0.1498,560,32.94,560,2,0.12,24,0,0,0,2.21,1.57,10.0,,10.0,7.09,0.7089,0.0357,4.63,6.11,0,0,0,0,0,,,,,,0,0,0,79,56,560,2
