Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
158,Ryan Flournoy,WR,WR57,DAL,DAL,15,13,114.0,7.6,94.0,6.27,74.0,4.93,186.0,57,64.0,-28.0,158,163,-3.0,-45.0,4.0,0.0,15.76,6.4,7.23,0.9512,26.5,0.0,1,0.0667,12,0.8,3,0.2,1,5.0,44,2.93,60,4.0,0.1106,500,33.33,500,4,0.27,31,0,0,0,2.59,1.9,11.36,6.25,11.88,8.48,0.7143,0.0909,8.32,5.1,0,0,0,0,0,,,,,,4,25,0,56,40,475,4
160,Mack Hollins,WR,WR58,NE,NE,14,14,113.4,8.1,90.4,6.46,67.4,4.81,175.0,58,61.0,-15.0,164,179,-2.5,-35.0,4.0,3.47,15.3,7.35,4.61,0.5697,16.6,1.3,0,0.0,10,0.7143,4,0.2857,0,15.0,47,3.36,66,4.71,0.1625,554,39.57,554,2,0.14,28,0,0,0,2.41,1.72,11.79,4.0,11.96,8.46,0.7077,0.0426,13.09,2.35,0,0,0,0,0,,,,,,1,4,0,65,46,550,2
163,Xavier Worthy,WR,WR59,KC,KC,14,14,109.9,7.85,88.9,6.35,67.9,4.85,178.0,59,62.0,-15.0,166,176,-2.75,-38.5,4.0,1.72,11.31,8.15,4.52,0.5764,17.1,0.0,0,0.0,9,0.6429,5,0.3571,0,16.0,53,3.79,84,6.0,0.1606,619,44.21,619,1,0.07,26,0,0,0,2.07,1.31,11.68,7.91,12.67,7.29,0.5753,0.0189,12.93,4.6,0,0,0,0,0,,,,,,11,87,0,73,42,532,1
169,Keon Coleman,WR,WR60,BUF,BUF,12,12,102.4,8.53,83.4,6.95,64.4,5.37,164.0,60,57.0,5.0,177,185,-2.07,-24.8,4.0,3.74,13.27,6.75,6.05,0.7091,25.2,3.6,1,0.0833,9,0.75,3,0.25,1,2.0,38,3.17,59,4.92,0.1668,404,33.67,404,4,0.33,26,1,1,1,2.69,1.74,10.63,,10.63,6.85,0.6441,0.1053,11.17,2.32,0,0,0,0,0,,,,,,0,0,0,59,38,404,4
170,Jalen Nailor,WR,WR61,MIN,MIN,17,17,100.7,5.92,86.2,5.07,71.7,4.22,228.0,61,88.0,-58.0,172,166,-4.68,-79.5,4.0,0.0,13.32,5.7,6.66,1.1236,23.4,0.0,1,0.0588,15,0.8824,2,0.1176,1,4.0,31,1.82,55,3.24,0.1165,457,26.88,457,4,0.24,24,0,0,1,3.25,1.83,14.74,6.5,15.31,8.38,0.5472,0.129,12.38,3.86,0,0,0,0,0,,,,,,2,13,0,53,29,444,4
173,Garrett Wilson,WR,WR62,NYJ,NYJ,7,7,99.5,14.21,81.5,11.64,63.5,9.07,60.0,62,15.0,113.0,181,187,3.61,25.3,4.0,2.58,23.26,19.1,9.66,0.6794,24.4,0.0,3,0.4286,3,0.4286,4,0.5714,1,2.0,36,5.14,59,8.43,0.3539,395,56.43,395,4,0.57,18,0,0,0,2.76,1.69,10.97,,10.97,6.69,0.6102,0.1111,9.07,2.78,0,0,0,0,0,,,,,,0,0,0,59,36,395,4
176,Darius Slayton,WR,WR63,NYG,NYG,14,14,98.8,7.06,80.3,5.74,61.8,4.41,200.0,63,71.0,-24.0,183,190,-3.54,-49.6,4.0,2.25,12.39,7.2,4.12,0.5844,14.1,0.0,0,0.0,11,0.7857,4,0.2857,0,19.0,37,2.64,63,4.5,0.1546,538,38.43,538,1,0.07,23,1,1,2,2.67,1.57,14.54,,14.54,8.54,0.5873,0.027,13.38,5.35,0,0,0,0,0,,,,,,0,0,0,63,37,538,1
177,Xavier Hutchinson,WR,WR64,HOU,HOU,16,16,98.0,6.12,80.5,5.03,63.0,3.94,222.0,64,82.0,-45.0,182,189,-4.48,-71.6,4.0,1.15,15.1,4.9,5.37,0.8767,17.9,0.0,0,0.0,13,0.8125,3,0.1875,0,9.0,38,2.38,60,3.75,0.112,450,28.12,450,3,0.19,21,0,0,0,2.58,1.63,11.84,7.33,12.23,7.51,0.614,0.0789,10.25,4.17,0,0,0,0,0,,,,,,3,22,0,57,35,428,3
178,DeMario Douglas,WR,WR65,NE,NE,16,16,95.8,5.99,80.3,5.02,64.8,4.05,225.0,65,85.0,-47.0,183,183,-4.61,-73.8,4.0,1.7,12.15,5.15,5.2,0.8686,20.0,0.5,1,0.0625,14,0.875,2,0.125,0,10.0,38,2.38,53,3.31,0.0976,468,29.25,468,3,0.19,19,0,0,0,2.52,1.81,12.32,3.0,14.42,9.72,0.6739,0.0789,9.67,6.9,0,0,0,0,0,,,,,,7,21,0,46,31,447,3
179,Marvin Mims Jr.,WR,WR66,DEN,DEN,15,15,95.0,6.33,76.5,5.1,58.0,3.87,216.0,66,77.0,-37.0,190,198,-4.27,-64.0,4.0,1.56,13.64,4.2,5.54,0.8746,20.5,0.2,1,0.0667,12,0.8,2,0.1333,0,9.0,49,3.27,63,4.2,0.0994,400,26.67,400,3,0.2,17,0,0,0,1.94,1.51,8.16,6.5,8.7,6.31,0.7255,0.0408,9.37,6.24,0,0,0,0,0,,,,,,12,78,1,51,37,322,1
183,Tez Johnson,WR,WR67,TB,TB,15,15,92.4,6.16,78.4,5.23,64.4,4.29,220.0,67,80.0,-37.0,185,185,-4.44,-66.6,4.0,0.0,14.4,3.2,6.51,1.0564,20.2,0.0,1,0.0667,11,0.7333,4,0.2667,0,10.0,35,2.33,51,3.4,0.0916,344,22.93,344,5,0.33,16,0,0,0,2.64,1.81,9.83,3.14,11.5,7.32,0.6364,0.1429,11.73,3.93,0,0,0,0,0,,,,,,7,22,0,44,28,322,5
184,Kendrick Bourne,WR,WR68,SF,SF,14,14,92.1,6.58,73.6,5.26,55.1,3.94,211.0,68,76.0,-27.0,193,202,-4.02,-56.3,4.0,0.81,15.78,4.55,6.89,1.0475,24.2,0.0,1,0.0714,12,0.8571,2,0.1429,0,6.0,37,2.64,53,3.79,0.108,551,39.36,551,0,0.0,27,0,0,0,2.49,1.74,14.89,,14.89,10.4,0.6981,0.0,11.02,4.46,0,0,0,0,0,,,,,,0,0,0,53,37,551,0
188,Jalen Coker,WR,WR69,CAR,CAR,11,11,90.4,8.22,73.9,6.72,57.4,5.22,172.0,69,59.0,16.0,192,199,-2.38,-26.2,4.0,1.9,16.7,6.6,5.87,0.7137,17.4,0.0,0,0.0,7,0.6364,4,0.3636,0,12.0,33,3.0,43,3.91,0.154,394,35.82,394,3,0.27,22,1,1,1,2.74,2.1,11.94,,11.94,9.16,0.7674,0.0909,10.12,3.09,0,0,0,0,0,,,,,,0,0,0,43,33,394,3
189,Andrei Iosivas,WR,WR70,CIN,CIN,15,15,89.9,5.99,73.4,4.89,56.9,3.79,224.0,70,84.0,-35.0,194,200,-4.61,-69.1,4.0,0.6,12.16,3.7,5.18,0.8646,18.0,0.0,0,0.0,12,0.8,3,0.2,0,13.0,36,2.4,61,4.07,0.102,449,29.93,449,2,0.13,24,0,0,0,2.5,1.47,12.47,4.67,13.18,7.5,0.569,0.0556,10.45,3.12,0,0,0,0,0,,,,,,3,14,0,58,33,435,2
